Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontage_nan,MasVnrArea_nan,GarageYrBlt_nan
1,60,3,65.0,8450,1,2,0,1,1,0,0,16,4,4,4,6,7,5,2003,2003,1,2,11,12,2,196.0,2,3,5,3,3,1,6,706,5,0,150,856,5,4,1,5,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,1,5,2003.0,2,2,548,3,5,2,0,61,0,0,0,0,0,4,3,0,2,2008,4,4,208500,0,0,0
2,20,3,80.0,9600,1,2,0,1,1,1,0,20,2,4,4,5,6,8,1976,1976,1,2,4,5,1,0.0,1,3,2,3,3,4,4,978,5,0,284,1262,5,4,1,5,1262,0,0,1262,0,1,2,0,3,1,1,6,6,1,3,5,1976.0,2,2,460,3,5,2,298,0,0,0,0,0,0,4,3,0,5,2007,4,4,181500,0,0,0
3,60,3,68.0,11250,1,2,1,1,1,0,0,16,4,4,4,6,7,5,2001,2002,1,2,11,12,2,162.0,2,3,5,3,3,2,6,486,5,0,434,920,5,4,1,5,920,866,0,1786,1,0,2,1,3,1,2,6,6,1,3,5,2001.0,2,2,608,3,5,2,0,42,0,0,0,0,0,4,3,0,9,2008,4,4,223500,0,0,0
4,70,3,60.0,9550,1,2,1,1,1,2,0,17,4,4,4,6,7,5,1915,1970,1,2,5,8,1,0.0,1,3,1,2,4,1,4,216,5,0,540,756,5,3,1,5,961,756,0,1717,1,0,1,0,3,1,2,7,6,1,4,2,1998.0,1,3,642,3,5,2,0,35,272,0,0,0,0,4,3,0,2,2006,4,1,140000,0,0,0
5,60,3,84.0,14260,1,2,1,1,1,1,0,24,4,4,4,6,8,5,2000,2000,1,2,11,12,2,350.0,2,3,5,3,3,3,6,655,5,0,490,1145,5,4,1,5,1145,1053,0,2198,1,0,2,1,4,1,2,9,6,1,3,5,2000.0,2,3,836,3,5,2,192,84,0,0,0,0,0,4,3,0,12,2008,4,4,250000,0,0,0
6,50,3,85.0,14115,1,2,1,1,1,0,0,11,4,4,4,2,5,5,1993,1995,1,2,11,12,1,0.0,1,3,4,3,3,1,6,732,5,0,64,796,5,4,1,5,796,566,0,1362,1,0,1,1,1,1,1,5,6,0,1,5,1993.0,1,2,480,3,5,2,40,30,0,320,0,0,0,2,1,700,10,2009,4,4,143000,0,0,0
7,20,3,75.0,10084,1,2,0,1,1,0,0,19,4,4,4,5,8,5,2004,2005,1,2,11,12,4,186.0,2,3,5,4,3,3,6,1369,5,0,317,1686,5,4,1,5,1694,0,0,1694,1,0,2,0,3,1,2,7,6,1,4,5,2004.0,2,2,636,3,5,2,255,57,0,0,0,0,0,4,3,0,8,2007,4,4,307000,0,0,0
8,60,3,69.0,10382,1,2,1,1,1,2,0,13,7,4,4,6,7,6,1973,1973,1,2,8,9,4,240.0,1,3,2,3,3,2,4,859,1,32,216,1107,5,4,1,5,1107,983,0,2090,1,0,2,1,3,1,1,7,6,2,3,5,1973.0,2,2,484,3,5,2,235,204,228,0,0,0,0,4,1,350,11,2009,4,4,200000,1,0,0
9,50,1,51.0,6120,1,2,0,1,1,0,0,5,0,4,4,2,7,5,1931,1950,1,2,10,8,1,0.0,1,3,1,2,3,1,5,0,5,0,952,952,5,3,1,2,1022,752,0,1774,0,0,2,0,2,2,1,8,3,2,3,2,1931.0,1,2,468,2,5,2,90,0,205,0,0,0,0,4,3,0,4,2008,4,1,129900,0,0,0
10,190,3,50.0,7420,1,2,0,1,1,2,0,3,0,1,0,0,5,6,1939,1950,1,2,4,5,1,0.0,1,3,1,2,3,1,6,851,5,0,140,991,5,4,1,5,1077,0,0,1077,1,0,1,0,2,2,1,5,6,2,3,5,1939.0,2,1,205,4,5,2,0,4,0,0,0,0,0,4,3,0,1,2008,4,4,118000,0,0,0
